;centroid
0;100,0
1;0,0
2;85,89621313347462
3;0,0
4;0,0
5;100,0
6;100,0
7;0,0
8;100,0
9;0,0
10;40,12752880409223
11;0,0
12;100,0
13;0,0
14;0,0
15;83,64498292166091
16;100,0
17;100,0
18;0,0
19;0,0
20;42,89173655582654
21;26,686950938329673
22;0,0
23;100,0
24;0,0
25;0,0
26;0,0
27;0,0
28;0,0
29;100,0
30;0,0
31;0,0
32;100,0
33;100,0
34;100,0
35;0,0
36;0,0
37;46,92415876133889
38;74,66441413894324
39;100,0
40;100,0
41;100,0
42;0,0
43;100,0
44;0,0
45;0,0
46;100,0
47;0,0
48;0,0
49;0,0
50;100,0
51;0,0
52;85,96742671009721
53;0,0
54;100,0
55;100,0
56;39,410688402534625
57;0,0
58;88,68701504778068
59;85,10320618156746
60;86,88144468416722
61;100,0
62;0,0
63;0,0
64;100,0
65;100,0
66;100,0
67;0,0
68;0,0
69;0,0
70;88,14499669416738
71;54,714504568308726
72;0,0
73;100,0
74;44,37464489015469
75;0,0
76;0,0
77;100,0
78;100,0
79;0,0
80;0,0
81;100,0
82;100,0
83;39,88733236951
84;0,0
85;22,85264569206646
86;0,0
87;0,0
88;0,0
89;0,0
90;0,0
91;0,0
92;100,0
93;0,0
94;0,0
95;0,0
96;100,0
97;0,0
98;100,0
99;0,0
100;0,0
101;100,0
102;0,0
103;100,0
104;100,0
105;100,0
106;0,0
107;100,0
108;100,0
109;0,0
110;0,0
111;0,0
112;100,0
113;0,0
114;100,0
115;0,0
116;0,0
117;0,0
118;100,0
119;62,81649996502749
120;0,0
121;0,0
122;72,56627360980477
123;0,0
124;100,0
125;18,99898610895265
126;40,391231474947055
127;0,0
128;0,0
129;0,0
130;89,02980367735695
131;0,0
132;100,0
133;0,0
134;0,0
135;0,0
136;0,0
137;0,0
138;0,0
139;83,55196408529754
140;35,08238864204864
141;100,0
142;97,95275590551176
143;100,0
144;0,0
145;0,0
146;84,3958450598739
147;100,0
148;0,0
149;0,0
150;100,0
151;0,0
152;0,0
153;0,0
154;0,0
155;0,0
156;0,0
157;65,52180139029583
158;0,0
159;100,0
160;100,0
161;88,35470494417868
162;100,0
163;79,41873664529987
164;100,0
165;100,0
166;33,19539404125028
167;100,0
168;100,0
169;100,0
170;100,0
171;80,86093040081911
172;0,0
173;0,0
174;0,0
175;0,0
176;100,0
177;100,0
178;62,528603605624845
179;100,0
180;0,0
181;100,0
182;67,48902172157014
183;100,0
184;100,0
185;100,0
186;0,0
187;0,0
188;73,32277452891515
189;100,0
190;100,0
191;100,0
192;72,14506172839528
193;0,0
194;0,0
195;0,0
196;66,4715032602265
197;0,0
198;0,0
199;0,0
200;0,0
201;0,0
202;100,0
203;97,44677254361434
204;0,0
205;0,0
206;100,0
207;0,0
208;100,0
209;100,0
210;100,0
211;0,0
212;54,66733366683344
