,sk_date,date,date_id
0,20191231,2019-12-31,20191231
1,20200101,2020-01-01,20200101
2,20200102,2020-01-02,20200102
3,20200103,2020-01-03,20200103
4,20200104,2020-01-04,20200104
5,20200105,2020-01-05,20200105
6,20200106,2020-01-06,20200106
7,20200107,2020-01-07,20200107
8,20200108,2020-01-08,20200108
9,20200109,2020-01-09,20200109
10,20200110,2020-01-10,20200110
11,20200111,2020-01-11,20200111
12,20200112,2020-01-12,20200112
13,20200113,2020-01-13,20200113
14,20200114,2020-01-14,20200114
15,20200115,2020-01-15,20200115
16,20200116,2020-01-16,20200116
17,20200117,2020-01-17,20200117
18,20200118,2020-01-18,20200118
19,20200119,2020-01-19,20200119
20,20200120,2020-01-20,20200120
21,20200121,2020-01-21,20200121
22,20200122,2020-01-22,20200122
23,20200123,2020-01-23,20200123
24,20200124,2020-01-24,20200124
25,20200125,2020-01-25,20200125
26,20200126,2020-01-26,20200126
27,20200127,2020-01-27,20200127
28,20200128,2020-01-28,20200128
29,20200129,2020-01-29,20200129
30,20200130,2020-01-30,20200130
31,20200131,2020-01-31,20200131
32,20200201,2020-02-01,20200201
33,20200202,2020-02-02,20200202
34,20200203,2020-02-03,20200203
35,20200204,2020-02-04,20200204
36,20200205,2020-02-05,20200205
37,20200206,2020-02-06,20200206
38,20200207,2020-02-07,20200207
39,20200208,2020-02-08,20200208
40,20200209,2020-02-09,20200209
41,20200210,2020-02-10,20200210
42,20200211,2020-02-11,20200211
43,20200212,2020-02-12,20200212
44,20200213,2020-02-13,20200213
45,20200214,2020-02-14,20200214
46,20200215,2020-02-15,20200215
47,20200216,2020-02-16,20200216
48,20200217,2020-02-17,20200217
49,20200218,2020-02-18,20200218
50,20200219,2020-02-19,20200219
51,20200220,2020-02-20,20200220
52,20200221,2020-02-21,20200221
53,20200222,2020-02-22,20200222
54,20200223,2020-02-23,20200223
55,20200224,2020-02-24,20200224
56,20200225,2020-02-25,20200225
57,20200226,2020-02-26,20200226
58,20200227,2020-02-27,20200227
59,20200228,2020-02-28,20200228
60,20200229,2020-02-29,20200229
61,20200301,2020-03-01,20200301
62,20200302,2020-03-02,20200302
63,20200308,2020-03-08,20200308
64,20200311,2020-03-11,20200311
65,20200315,2020-03-15,20200315
66,20200316,2020-03-16,20200316
67,20200317,2020-03-17,20200317
68,20200318,2020-03-18,20200318
69,20200319,2020-03-19,20200319
70,20200320,2020-03-20,20200320
71,20200321,2020-03-21,20200321
72,20200322,2020-03-22,20200322
73,20200323,2020-03-23,20200323
74,20200324,2020-03-24,20200324
75,20200325,2020-03-25,20200325
76,20200326,2020-03-26,20200326
77,20200327,2020-03-27,20200327
78,20200328,2020-03-28,20200328
79,20200329,2020-03-29,20200329
80,20200330,2020-03-30,20200330
81,20200331,2020-03-31,20200331
82,20200401,2020-04-01,20200401
83,20200402,2020-04-02,20200402
84,20200403,2020-04-03,20200403
85,20200404,2020-04-04,20200404
86,20200405,2020-04-05,20200405
87,20200406,2020-04-06,20200406
88,20200407,2020-04-07,20200407
89,20200408,2020-04-08,20200408
90,20200409,2020-04-09,20200409
91,20200410,2020-04-10,20200410
92,20200411,2020-04-11,20200411
93,20200412,2020-04-12,20200412
94,20200413,2020-04-13,20200413
95,20200414,2020-04-14,20200414
96,20200415,2020-04-15,20200415
97,20200416,2020-04-16,20200416
98,20200417,2020-04-17,20200417
99,20200418,2020-04-18,20200418
100,20200419,2020-04-19,20200419
101,20200420,2020-04-20,20200420
102,20200421,2020-04-21,20200421
103,20200422,2020-04-22,20200422
104,20200423,2020-04-23,20200423
105,20200424,2020-04-24,20200424
106,20200425,2020-04-25,20200425
107,20200426,2020-04-26,20200426
108,20200427,2020-04-27,20200427
109,20200428,2020-04-28,20200428
110,20200429,2020-04-29,20200429
111,20200430,2020-04-30,20200430
112,20200501,2020-05-01,20200501
113,20200502,2020-05-02,20200502
114,20200503,2020-05-03,20200503
115,20200504,2020-05-04,20200504
116,20200505,2020-05-05,20200505
117,20200506,2020-05-06,20200506
118,20200507,2020-05-07,20200507
119,20200508,2020-05-08,20200508
120,20200509,2020-05-09,20200509
121,20200510,2020-05-10,20200510
122,20200511,2020-05-11,20200511
123,20200512,2020-05-12,20200512
124,20200513,2020-05-13,20200513
125,20200514,2020-05-14,20200514
126,20200515,2020-05-15,20200515
127,20200516,2020-05-16,20200516
128,20200517,2020-05-17,20200517
129,20200518,2020-05-18,20200518
130,20200519,2020-05-19,20200519
131,20200520,2020-05-20,20200520
132,20200521,2020-05-21,20200521
133,20200522,2020-05-22,20200522
134,20200523,2020-05-23,20200523
135,20200524,2020-05-24,20200524
136,20200525,2020-05-25,20200525
137,20200526,2020-05-26,20200526
138,20200527,2020-05-27,20200527
139,20200528,2020-05-28,20200528
140,20200529,2020-05-29,20200529
141,20200530,2020-05-30,20200530
142,20200531,2020-05-31,20200531
143,20200601,2020-06-01,20200601
144,20200602,2020-06-02,20200602
145,20200603,2020-06-03,20200603
146,20200604,2020-06-04,20200604
147,20200605,2020-06-05,20200605
148,20200606,2020-06-06,20200606
149,20200607,2020-06-07,20200607
150,20200608,2020-06-08,20200608
151,20200609,2020-06-09,20200609
152,20200610,2020-06-10,20200610
153,20200611,2020-06-11,20200611
154,20200612,2020-06-12,20200612
155,20200613,2020-06-13,20200613
156,20200614,2020-06-14,20200614
157,20200615,2020-06-15,20200615
158,20200616,2020-06-16,20200616
159,20200617,2020-06-17,20200617
160,20200618,2020-06-18,20200618
161,20200619,2020-06-19,20200619
162,20200620,2020-06-20,20200620
163,20200621,2020-06-21,20200621
164,20200622,2020-06-22,20200622
165,20200623,2020-06-23,20200623
166,20200624,2020-06-24,20200624
167,20200625,2020-06-25,20200625
168,20200626,2020-06-26,20200626
169,20200627,2020-06-27,20200627
170,20200628,2020-06-28,20200628
171,20200629,2020-06-29,20200629
172,20200630,2020-06-30,20200630
173,20200701,2020-07-01,20200701
174,20200702,2020-07-02,20200702
175,20200703,2020-07-03,20200703
176,20200309,2020-03-09,20200309
177,20200310,2020-03-10,20200310
178,20200312,2020-03-12,20200312
179,20200313,2020-03-13,20200313
180,20200314,2020-03-14,20200314
181,20200304,2020-03-04,20200304
182,20200305,2020-03-05,20200305
183,20200306,2020-03-06,20200306
184,20200303,2020-03-03,20200303
185,20200307,2020-03-07,20200307
186,20200308,2020-03-08,20200308
187,20200309,2020-03-09,20200309
188,20200310,2020-03-10,20200310
189,20200311,2020-03-11,20200311
190,20200312,2020-03-12,20200312
191,20200313,2020-03-13,20200313
192,20200314,2020-03-14,20200314
193,20200315,2020-03-15,20200315
194,20200316,2020-03-16,20200316
195,20200317,2020-03-17,20200317
