,cod_location,date_id,total_cases
299,0,20201025,40768.0
300,0,20201026,40833.0
301,0,20201027,41032.0
302,0,20201028,41145.0
303,0,20201029,41145.0
534,1,20201025,18858.0
535,1,20201026,19157.0
536,1,20201027,19445.0
537,1,20201028,19729.0
538,1,20201029,20040.0
838,2,20201025,55880.0
839,2,20201026,56143.0
840,2,20201027,56419.0
841,2,20201028,56706.0
842,2,20201029,57026.0
1074,3,20201025,4038.0
1075,3,20201026,4038.0
1076,3,20201027,4325.0
1077,3,20201028,4410.0
1078,3,20201029,4517.0
1296,4,20201025,8829.0
1297,4,20201026,9026.0
1298,4,20201027,9381.0
1299,4,20201028,9644.0
1300,4,20201029,9871.0
1513,5,20201025,3.0
1514,5,20201026,3.0
1515,5,20201027,3.0
1516,5,20201028,3.0
1517,5,20201029,3.0
1737,6,20201025,124.0
1738,6,20201026,124.0
1739,6,20201027,124.0
1740,6,20201028,124.0
1741,6,20201029,124.0
1976,7,20201025,1081323.0
1977,7,20201026,1090576.0
1978,7,20201027,1102288.0
1979,7,20201028,1116596.0
1980,7,20201029,1130520.0
2280,8,20201025,77837.0
2281,8,20201026,78810.0
2282,8,20201027,80410.0
2283,8,20201028,82651.0
2284,8,20201029,85034.0
2506,9,20201025,4410.0
2507,9,20201026,4420.0
2508,9,20201027,4420.0
2509,9,20201028,4420.0
2510,9,20201029,4437.0
2810,10,20201025,27499.0
2811,10,20201026,27520.0
2812,10,20201027,27527.0
2813,10,20201028,27541.0
2814,10,20201029,27554.0
3114,11,20201025,79770.0
3115,11,20201026,82536.0
3116,11,20201027,85048.0
3117,11,20201028,87746.0
3118,11,20201029,91895.0
3418,12,20201025,49013.0
3419,12,20201026,49959.0
3420,12,20201027,50486.0
3421,12,20201028,51149.0
3422,12,20201029,52137.0
3644,13,20201025,6352.0
3645,13,20201026,6410.0
3646,13,20201027,6466.0
3647,13,20201028,6502.0
3648,13,20201029,6549.0
3948,14,20201025,79975.0
3949,14,20201026,80255.0
3950,14,20201027,80533.0
3951,14,20201028,80533.0
3952,14,20201029,81022.0
4189,15,20201025,397507.0
4190,15,20201026,398815.0
4191,15,20201027,400251.0
4192,15,20201028,401586.0
4193,15,20201029,403079.0
4415,16,20201025,227.0
4416,16,20201026,227.0
4417,16,20201027,233.0
4418,16,20201028,233.0
4419,16,20201029,234.0
4719,17,20201025,91978.0
4720,17,20201026,92823.0
4721,17,20201027,93707.0
4722,17,20201028,94609.0
4723,17,20201029,95545.0
5021,18,20201023,313157.0
5022,18,20201024,330826.0
5023,18,20201025,341694.0
5024,18,20201026,346386.0
5025,18,20201027,361832.0
5241,19,20201025,3106.0
5242,19,20201026,3145.0
5243,19,20201027,3200.0
5244,19,20201028,3232.0
5245,19,20201029,3261.0
5468,20,20201025,2557.0
5469,20,20201026,2557.0
5470,20,20201027,2557.0
5471,20,20201028,2557.0
5472,20,20201029,2643.0
5692,21,20201025,191.0
5693,21,20201026,191.0
5694,21,20201027,193.0
5695,21,20201028,194.0
5696,21,20201029,194.0
5925,22,20201025,340.0
5926,22,20201026,342.0
5927,22,20201027,342.0
5928,22,20201028,345.0
5929,22,20201029,346.0
6157,23,20201025,140779.0
6158,23,20201026,140853.0
6159,23,20201027,140952.0
6160,23,20201028,141124.0
6161,23,20201029,141321.0
6368,24,20201025,150.0
6369,24,20201026,150.0
6370,24,20201027,150.0
6371,24,20201028,150.0
6372,24,20201029,153.0
6601,25,20201025,39758.0
6602,25,20201026,40893.0
6603,25,20201027,41596.0
6604,25,20201028,41616.0
6605,25,20201029,44737.0
6813,26,20201025,5923.0
6814,26,20201026,5923.0
6815,26,20201027,6283.0
6816,26,20201028,6283.0
6817,26,20201029,6283.0
7117,27,20201025,5380635.0
7118,27,20201026,5394128.0
7119,27,20201027,5409854.0
7120,27,20201028,5439641.0
7121,27,20201029,5468270.0
7334,28,20201025,72.0
7335,28,20201026,72.0
7336,28,20201027,72.0
7337,28,20201028,72.0
7338,28,20201029,72.0
7567,29,20201025,148.0
7568,29,20201026,148.0
7569,29,20201027,148.0
7570,29,20201028,148.0
7571,29,20201029,148.0
7801,30,20201025,37562.0
7802,30,20201026,37889.0
7803,30,20201027,40132.0
7804,30,20201028,42701.0
7805,30,20201029,45461.0
8032,31,20201025,2444.0
8033,31,20201026,2451.0
8034,31,20201027,2459.0
8035,31,20201028,2466.0
8036,31,20201029,2466.0
8244,32,20201025,555.0
8245,32,20201026,556.0
8246,32,20201027,557.0
8247,32,20201028,558.0
8248,32,20201029,559.0
8548,33,20201025,287.0
8549,33,20201026,287.0
8550,33,20201027,288.0
8551,33,20201028,290.0
8552,33,20201029,290.0
8781,34,20201025,21570.0
8782,34,20201026,21570.0
8783,34,20201027,21793.0
8784,34,20201028,21793.0
8785,34,20201029,21793.0
9085,35,20201025,213959.0
9086,35,20201026,216104.0
9087,35,20201027,220213.0
9088,35,20201028,222887.0
9089,35,20201029,225586.0
9308,36,20201025,8322.0
9309,36,20201026,8396.0
9310,36,20201027,8423.0
9311,36,20201028,8472.0
9312,36,20201029,8548.0
9532,37,20201025,239.0
9533,37,20201026,239.0
9534,37,20201027,239.0
9535,37,20201028,239.0
9536,37,20201029,239.0
9760,38,20201025,4862.0
9761,38,20201026,4862.0
9762,38,20201027,4863.0
9763,38,20201028,4863.0
9764,38,20201029,4863.0
9984,39,20201025,1434.0
9985,39,20201026,1437.0
9986,39,20201027,1441.0
9987,39,20201028,1460.0
9988,39,20201029,1468.0
10223,40,20201025,500542.0
10224,40,20201026,502063.0
10225,40,20201027,503598.0
10226,40,20201028,504525.0
10227,40,20201029,505530.0
10527,41,20201025,91125.0
10528,41,20201026,91151.0
10529,41,20201027,91175.0
10530,41,20201028,91217.0
10531,41,20201029,91241.0
10764,42,20201025,1007711.0
10765,42,20201026,1015885.0
10766,42,20201027,1025052.0
10767,42,20201028,1033218.0
10768,42,20201029,1041935.0
10945,43,20201025,517.0
10946,43,20201026,517.0
10947,43,20201027,517.0
10948,43,20201028,517.0
10949,43,20201029,525.0
11173,44,20201025,5253.0
11174,44,20201026,5253.0
11175,44,20201027,5253.0
11176,44,20201028,5253.0
11177,44,20201029,5253.0
11409,45,20201025,103088.0
11410,45,20201026,103088.0
11411,45,20201027,104460.0
11412,45,20201028,105322.0
11413,45,20201029,106553.0
11639,46,20201025,20429.0
11640,46,20201026,20470.0
11641,46,20201027,20486.0
11642,46,20201028,20488.0
11643,46,20201029,20555.0
11943,47,20201025,33959.0
11944,47,20201026,36380.0
11945,47,20201027,37208.0
11946,47,20201028,38621.0
11947,47,20201029,40999.0
12172,48,20201025,6534.0
12173,48,20201026,6566.0
12174,48,20201027,6595.0
12175,48,20201028,6678.0
12176,48,20201029,6727.0
12398,49,20201025,837.0
12399,49,20201026,858.0
12400,49,20201027,873.0
12401,49,20201028,873.0
12402,49,20201029,884.0
12632,50,20201025,3444.0
12633,50,20201026,3545.0
12634,50,20201027,3636.0
12635,50,20201028,3817.0
12636,50,20201029,3817.0
12936,51,20201025,250797.0
12937,51,20201026,258097.0
12938,51,20201027,268370.0
12939,51,20201028,284033.0
12940,51,20201029,297013.0
13167,52,20201025,11142.0
13168,52,20201026,11142.0
13169,52,20201027,11173.0
13170,52,20201028,11190.0
13171,52,20201029,11210.0
13471,53,20201025,39411.0
13472,53,20201026,40356.0
13473,53,20201027,41412.0
13474,53,20201028,42157.0
13475,53,20201029,43174.0
13696,54,20201025,5530.0
13697,54,20201026,5536.0
13698,54,20201027,5541.0
13699,54,20201028,5544.0
13700,54,20201029,5555.0
13917,55,20201025,37.0
13918,55,20201026,38.0
13919,55,20201027,38.0
13920,55,20201028,38.0
13921,55,20201029,42.0
14221,56,20201025,124018.0
14222,56,20201026,124527.0
14223,56,20201027,124843.0
14224,56,20201028,125008.0
14225,56,20201029,125570.0
14525,57,20201025,159614.0
14526,57,20201026,161635.0
14527,57,20201027,162178.0
14528,57,20201028,163192.0
14529,57,20201029,164908.0
14829,58,20201025,106397.0
14830,58,20201026,106540.0
14831,58,20201027,106707.0
14832,58,20201028,106877.0
14833,58,20201029,107030.0
15054,59,20201025,32585.0
15055,59,20201026,32585.0
15056,59,20201027,32925.0
15057,59,20201028,32925.0
15058,59,20201029,32925.0
15283,60,20201025,5079.0
15284,60,20201026,5079.0
15285,60,20201027,5083.0
15286,60,20201028,5083.0
15287,60,20201029,5083.0
15505,61,20201025,461.0
15506,61,20201026,461.0
15507,61,20201027,461.0
15508,61,20201028,461.0
15509,61,20201029,461.0
15809,62,20201025,4351.0
15810,62,20201026,4411.0
15811,62,20201027,4428.0
15812,62,20201028,4465.0
15813,62,20201029,4590.0
16040,63,20201025,92858.0
16041,63,20201026,93343.0
16042,63,20201027,93707.0
16043,63,20201028,94218.0
16044,63,20201029,94820.0
16278,64,20201025,490.0
16279,64,20201026,490.0
16280,64,20201027,490.0
16281,64,20201028,494.0
16282,64,20201029,494.0
16487,65,20201025,13.0
16488,65,20201026,13.0
16489,65,20201027,13.0
16490,65,20201028,13.0
16491,65,20201029,13.0
16761,66,20201025,33.0
16762,66,20201026,33.0
16763,66,20201027,33.0
16764,66,20201028,33.0
16765,66,20201029,33.0
17065,67,20201025,14652.0
17066,67,20201026,14848.0
17067,67,20201027,14970.0
17068,67,20201028,15163.0
17069,67,20201029,15378.0
17369,68,20201025,1086497.0
17370,68,20201026,1138507.0
17371,68,20201027,1165278.0
17372,68,20201028,1198695.0
17373,68,20201029,1235132.0
17594,69,20201025,5797.0
17595,69,20201026,5797.0
17596,69,20201027,5859.0
17597,69,20201028,6493.0
17598,69,20201029,6493.0
17824,70,20201025,8919.0
17825,70,20201026,8919.0
17826,70,20201027,8937.0
17827,70,20201028,8937.0
17828,70,20201029,8957.0
18050,71,20201025,3659.0
18051,71,20201026,3660.0
18052,71,20201027,3665.0
18053,71,20201028,3665.0
18054,71,20201029,3666.0
18354,72,20201025,28431.0
18355,72,20201026,30303.0
18356,72,20201027,32127.0
18357,72,20201028,33858.0
