,cod_location,date_id,total_cases
303,0,20201029,41145.0
304,0,20201030,41268.0
305,0,20201031,41425.0
306,0,20201101,41501.0
307,0,20201102,41633.0
547,1,20201029,20040.0
548,1,20201030,20315.0
549,1,20201031,20634.0
550,1,20201101,20875.0
551,1,20201102,21202.0
860,2,20201029,57026.0
861,2,20201030,57332.0
862,2,20201031,57651.0
863,2,20201101,57942.0
864,2,20201102,58272.0
1105,3,20201029,4517.0
1106,3,20201030,4567.0
1107,3,20201031,4665.0
1108,3,20201101,4756.0
1109,3,20201102,4825.0
1336,4,20201029,9871.0
1337,4,20201030,10074.0
1338,4,20201031,10269.0
1339,4,20201101,10558.0
1340,4,20201102,10805.0
1562,5,20201029,3.0
1563,5,20201030,3.0
1564,5,20201031,3.0
1565,5,20201101,3.0
1566,5,20201102,3.0
1795,6,20201029,124.0
1796,6,20201030,124.0
1797,6,20201031,127.0
1798,6,20201101,128.0
1799,6,20201102,128.0
2043,7,20201029,1130520.0
2044,7,20201030,1143211.0
2045,7,20201031,1157166.0
2046,7,20201101,1166911.0
2047,7,20201102,1173520.0
2356,8,20201029,85034.0
2357,8,20201030,87432.0
2358,8,20201031,89813.0
2359,8,20201101,92254.0
2360,8,20201102,93448.0
2591,9,20201029,4437.0
2592,9,20201030,4455.0
2593,9,20201031,4472.0
2594,9,20201101,4513.0
2595,9,20201102,4519.0
2904,10,20201029,27554.0
2905,10,20201030,27569.0
2906,10,20201031,27582.0
2907,10,20201101,27590.0
2908,10,20201102,27595.0
3217,11,20201029,91895.0
3218,11,20201030,96200.0
3219,11,20201031,101443.0
3220,11,20201101,106584.0
3221,11,20201102,111110.0
3530,12,20201029,52137.0
3531,12,20201030,53152.0
3532,12,20201031,54174.0
3533,12,20201101,55269.0
3534,12,20201102,56444.0
3765,13,20201029,6549.0
3766,13,20201030,6644.0
3767,13,20201031,6644.0
3768,13,20201101,6714.0
3769,13,20201102,6714.0
4078,14,20201029,81022.0
4079,14,20201030,81262.0
4080,14,20201031,81466.0
4081,14,20201101,81645.0
4082,14,20201102,81923.0
4328,15,20201029,403079.0
4329,15,20201030,404760.0
4330,15,20201031,406364.0
4331,15,20201101,407684.0
4332,15,20201102,409252.0
4563,16,20201029,234.0
4564,16,20201030,234.0
4565,16,20201031,236.0
4566,16,20201101,237.0
4567,16,20201102,237.0
4876,17,20201029,95545.0
4877,17,20201030,96529.0
4878,17,20201031,97499.0
4879,17,20201101,98482.0
4880,17,20201102,99459.0
5187,18,20201027,371567.0
5188,18,20201028,393743.0
5189,18,20201029,411726.0
5190,18,20201030,426778.0
5191,18,20201031,442047.0
5416,19,20201029,3261.0
5417,19,20201030,3382.0
5418,19,20201031,3462.0
5419,19,20201101,3462.0
5420,19,20201102,3462.0
5652,20,20201029,2643.0
5653,20,20201030,2643.0
5654,20,20201031,2643.0
5655,20,20201101,2643.0
5656,20,20201102,2643.0
5885,21,20201029,194.0
5886,21,20201030,198.0
5887,21,20201031,199.0
5888,21,20201101,199.0
5889,21,20201102,199.0
6127,22,20201029,346.0
6128,22,20201030,346.0
6129,22,20201031,348.0
6130,22,20201101,349.0
6131,22,20201102,354.0
6368,23,20201029,141321.0
6369,23,20201030,141484.0
6370,23,20201031,141631.0
6371,23,20201101,141757.0
6372,23,20201102,141833.0
6588,24,20201029,153.0
6589,24,20201030,153.0
6590,24,20201031,153.0
6591,24,20201101,153.0
6592,24,20201102,153.0
6830,25,20201029,44758.0
6831,25,20201030,46668.0
6832,25,20201031,48153.0
6833,25,20201101,50090.0
6834,25,20201102,51505.0
7051,26,20201029,6283.0
7052,26,20201030,6642.0
7053,26,20201031,6642.0
7054,26,20201101,6642.0
7055,26,20201102,6642.0
7364,27,20201029,5468270.0
7365,27,20201030,5494376.0
7366,27,20201031,5516658.0
7367,27,20201101,5535605.0
7368,27,20201102,5545705.0
7590,28,20201029,72.0
7591,28,20201030,72.0
7592,28,20201031,72.0
7593,28,20201101,72.0
7594,28,20201102,72.0
7832,29,20201029,148.0
7833,29,20201030,148.0
7834,29,20201031,148.0
7835,29,20201101,148.0
7836,29,20201102,148.0
8075,30,20201029,45461.0
8076,30,20201030,48150.0
8077,30,20201031,51041.0
8078,30,20201101,52844.0
8079,30,20201102,54069.0
8315,31,20201029,2466.0
8316,31,20201030,2477.0
8317,31,20201031,2477.0
8318,31,20201101,2500.0
8319,31,20201102,2500.0
8536,32,20201029,559.0
8537,32,20201030,560.0
8538,32,20201031,582.0
8539,32,20201101,585.0
8540,32,20201102,589.0
8849,33,20201029,290.0
8850,33,20201030,290.0
8851,33,20201031,290.0
8852,33,20201101,291.0
8853,33,20201102,291.0
9091,34,20201029,21793.0
9092,34,20201030,21793.0
9093,34,20201031,21793.0
9094,34,20201101,21793.0
9095,34,20201102,21793.0
9404,35,20201029,225586.0
9405,35,20201030,228542.0
9406,35,20201031,231999.0
9407,35,20201101,234511.0
9408,35,20201102,236841.0
9636,36,20201029,8548.0
9637,36,20201030,8548.0
9638,36,20201031,8694.0
9639,36,20201101,8793.0
9640,36,20201102,8848.0
9869,37,20201029,239.0
9870,37,20201030,239.0
9871,37,20201031,240.0
9872,37,20201101,240.0
9873,37,20201102,240.0
10106,38,20201029,4863.0
10107,38,20201030,4863.0
10108,38,20201031,4866.0
10109,38,20201101,4866.0
10110,38,20201102,4866.0
10339,39,20201029,1468.0
10340,39,20201030,1473.0
10341,39,20201031,1483.0
10342,39,20201101,1483.0
10343,39,20201102,1498.0
10587,40,20201029,505530.0
10588,40,20201030,507050.0
10589,40,20201031,508571.0
10590,40,20201101,510256.0
10591,40,20201102,511864.0
10900,41,20201029,91241.0
10901,41,20201030,91266.0
10902,41,20201031,91299.0
10903,41,20201101,91323.0
10904,41,20201102,91347.0
11146,42,20201029,1041935.0
11147,42,20201030,1053122.0
11148,42,20201031,1063151.0
11149,42,20201101,1074184.0
11150,42,20201102,1083321.0
11336,43,20201029,525.0
11337,43,20201030,530.0
11338,43,20201031,537.0
11339,43,20201101,545.0
11340,43,20201102,545.0
11573,44,20201029,5253.0
11574,44,20201030,5290.0
11575,44,20201031,5290.0
11576,44,20201101,5290.0
11577,44,20201102,5290.0
11818,45,20201029,106553.0
11819,45,20201030,107570.0
11820,45,20201031,108866.0
11821,45,20201101,109971.0
11822,45,20201102,109971.0
12057,46,20201029,20555.0
12058,46,20201030,20628.0
12059,46,20201031,20692.0
12060,46,20201101,20716.0
12061,46,20201102,20716.0
12370,47,20201029,40999.0
12371,47,20201030,43775.0
12372,47,20201031,46547.0
12373,47,20201101,49316.0
12374,47,20201102,51495.0
12608,48,20201029,6727.0
12609,48,20201030,6766.0
12610,48,20201031,6801.0
12611,48,20201101,6887.0
12612,48,20201102,6935.0
12843,49,20201029,884.0
12844,49,20201030,907.0
12845,49,20201031,944.0
12846,49,20201101,970.0
12847,49,20201102,987.0
13084,50,20201029,3817.0
13085,50,20201030,4051.0
13086,50,20201031,4217.0
13087,50,20201101,4366.0
13088,50,20201102,4563.0
13397,51,20201029,297013.0
13398,51,20201030,310068.0
13399,51,20201031,323673.0
13400,51,20201101,335102.0
13401,51,20201102,341644.0
13637,52,20201029,11210.0
13638,52,20201030,11253.0
13639,52,20201031,11305.0
13640,52,20201101,11305.0
13641,52,20201102,11371.0
13950,53,20201029,43174.0
13951,53,20201030,44034.0
13952,53,20201031,45225.0
13953,53,20201101,46351.0
13954,53,20201102,47299.0
14184,54,20201029,5555.0
14185,54,20201030,5558.0
14186,54,20201031,5559.0
14187,54,20201101,5561.0
14188,54,20201102,5563.0
14414,55,20201029,42.0
14415,55,20201030,42.0
14416,55,20201031,42.0
14417,55,20201101,42.0
14418,55,20201102,42.0
14727,56,20201029,125570.0
14728,56,20201030,125913.0
14729,56,20201031,126332.0
14730,56,20201101,127018.0
14731,56,20201102,127332.0
15040,57,20201029,164908.0
15041,57,20201030,166302.0
15042,57,20201031,167147.0
15043,57,20201101,168192.0
15044,57,20201102,169194.0
15353,58,20201029,107030.0
15354,58,20201030,107209.0
15355,58,20201031,107376.0
15356,58,20201101,107555.0
15357,58,20201102,107736.0
15587,59,20201029,32925.0
15588,59,20201030,33445.0
15589,59,20201031,33445.0
15590,59,20201101,33445.0
15591,59,20201102,34015.0
15825,60,20201029,5083.0
15826,60,20201030,5083.0
15827,60,20201031,5088.0
15828,60,20201101,5088.0
15829,60,20201102,5089.0
16056,61,20201029,461.0
16057,61,20201030,461.0
16058,61,20201031,461.0
16059,61,20201101,463.0
16060,61,20201102,463.0
16369,62,20201029,4590.0
16370,62,20201030,4671.0
16371,62,20201031,4771.0
16372,62,20201101,4905.0
16373,62,20201102,4985.0
16609,63,20201029,94820.0
16610,63,20201030,95301.0
16611,63,20201031,95789.0
16612,63,20201101,96169.0
16613,63,20201102,96583.0
16856,64,20201029,494.0
16857,64,20201030,494.0
16858,64,20201031,494.0
16859,64,20201101,495.0
16860,64,20201102,495.0
17074,65,20201029,13.0
17075,65,20201030,13.0
17076,65,20201031,13.0
17077,65,20201101,13.0
17078,65,20201102,13.0
17357,66,20201029,33.0
17358,66,20201030,34.0
17359,66,20201031,34.0
